   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Cr2p3/2 in Pd111  excited with 700eV
 
 provided by A. de Siervo and A. Pancotti (LNLS on 18/05/2006) 
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = ( 5 a 80,  0 a 120.0 ) (deg)
   sample temperature = 300 K
 
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      24     984       1      24      41     984
       1      41      16.6600      9.00000      1.00000      0.00000
      111.000      105094.      103004.    0.0202914
      114.000      106590.      103004.    0.0348096
      117.000      106657.      103004.    0.0354636
      120.000      105775.      103004.    0.0269016
      123.000      104518.      103004.    0.0146959
      126.000      102983.      103004. -0.000205840
      129.000      101133.      103004.   -0.0181707
      132.000      99267.6      103004.   -0.0362779
      135.000      97875.7      103004.   -0.0497906
      138.000      97185.2      103004.   -0.0564937
      141.000      96411.0      103004.   -0.0640100
      144.000      96250.3      103004.   -0.0655708
      147.000      96940.1      103004.   -0.0588736
      150.000      99295.2      103004.   -0.0360095
      153.000      101909.      103004.   -0.0106357
      156.000      104313.      103004.    0.0127004
      159.000      105914.      103004.    0.0282441
      162.000      107123.      103004.    0.0399883
      165.000      108116.      103004.    0.0496280
      168.000      108593.      103004.    0.0542568
      171.000      108501.      103004.    0.0533644
      174.000      108131.      103004.    0.0497686
      177.000      107819.      103004.    0.0467428
      180.000      107551.      103004.    0.0441370
      183.000      106721.      103004.    0.0360815
      186.000      105974.      103004.    0.0288344
      189.000      104958.      103004.    0.0189670
      192.000      104147.      103004.    0.0110955
      195.000      102463.      103004.  -0.00525725
      198.000      101123.      103004.   -0.0182682
      201.000      99134.6      103004.   -0.0375691
      204.000      98016.7      103004.   -0.0484219
      207.000      96784.1      103004.   -0.0603878
      210.000      96025.0      103004.   -0.0677576
      213.000      95416.6      103004.   -0.0736645
      216.000      96280.7      103004.   -0.0652753
      219.000      98909.3      103004.   -0.0397563
      222.000      101587.      103004.   -0.0137605
      225.000      105835.      103004.    0.0274844
      228.000      110571.      103004.    0.0734614
      231.000      117472.      103004.     0.140458
       2      41      16.6600      12.0000      1.00000      0.00000
      111.000      105977.      106323.  -0.00325354
      114.000      107334.      106323.   0.00951127
      117.000      108414.      106323.    0.0196619
      120.000      109875.      106323.    0.0334095
      123.000      111169.      106323.    0.0455766
      126.000      111914.      106323.    0.0525871
      129.000      111627.      106323.    0.0498844
      132.000      109561.      106323.    0.0304573
      135.000      106241.      106323. -0.000772458
      138.000      101742.      106323.   -0.0430896
      141.000      97625.8      106323.   -0.0818010
      144.000      94258.0      106323.    -0.113476
      147.000      91963.9      106323.    -0.135053
      150.000      90977.1      106323.    -0.144334
      153.000      92673.1      106323.    -0.128382
      156.000      96338.1      106323.   -0.0939127
      159.000      101350.      106323.   -0.0467770
      162.000      106681.      106323.   0.00337003
      165.000      111422.      106323.    0.0479552
      168.000      115611.      106323.    0.0873521
      171.000      118283.      106323.     0.112486
      174.000      120927.      106323.     0.137351
      177.000      121804.      106323.     0.145604
      180.000      121321.      106323.     0.141059
      183.000      119717.      106323.     0.125971
      186.000      117840.      106323.     0.108315
      189.000      115713.      106323.    0.0883103
      192.000      112240.      106323.    0.0556523
      195.000      108119.      106323.    0.0168925
      198.000      102221.      106323.   -0.0385777
      201.000      96865.9      106323.   -0.0889480
      204.000      92126.4      106323.    -0.133524
      207.000      89534.9      106323.    -0.157899
      210.000      88725.7      106323.    -0.165509
      213.000      89856.0      106323.    -0.154878
      216.000      93791.6      106323.    -0.117863
      219.000      98402.4      106323.   -0.0744972
      222.000      104989.      106323.   -0.0125444
      225.000      112350.      106323.    0.0566874
      228.000      122153.      106323.     0.148885
      231.000      133444.      106323.     0.255075
       3      41      16.6600      15.0000      1.00000      0.00000
      111.000      108836.      115129.   -0.0546644
      114.000      111779.      115129.   -0.0291001
      117.000      114520.      115129.  -0.00529404
      120.000      117362.      115129.    0.0193907
      123.000      118908.      115129.    0.0328259
      126.000      120806.      115129.    0.0493098
      129.000      121926.      115129.    0.0590360
      132.000      122304.      115129.    0.0623222
      135.000      121091.      115129.    0.0517820
      138.000      119405.      115129.    0.0371352
      141.000      116754.      115129.    0.0141143
      144.000      113353.      115129.   -0.0154269
      147.000      108684.      115129.   -0.0559840
      150.000      104714.      115129.   -0.0904623
      153.000      102798.      115129.    -0.107103
      156.000      103332.      115129.    -0.102469
      159.000      105125.      115129.   -0.0868986
      162.000      107232.      115129.   -0.0685927
      165.000      109597.      115129.   -0.0480533
      168.000      114183.      115129.  -0.00821669
      171.000      118759.      115129.    0.0315252
      174.000      123774.      115129.    0.0750915
      177.000      125755.      115129.    0.0922968
      180.000      127177.      115129.     0.104643
      183.000      126559.      115129.    0.0992809
      186.000      124891.      115129.    0.0847863
      189.000      122089.      115129.    0.0604543
      192.000      119330.      115129.    0.0364840
      195.000      116470.      115129.    0.0116481
      198.000      113503.      115129.   -0.0141211
      201.000      109541.      115129.   -0.0485372
      204.000      106891.      115129.   -0.0715584
      207.000      105412.      115129.   -0.0844044
      210.000      106992.      115129.   -0.0706816
      213.000      110013.      115129.   -0.0444388
      216.000      113743.      115129.   -0.0120374
      219.000      117127.      115129.    0.0173512
      222.000      119044.      115129.    0.0340007
      225.000      118828.      115129.    0.0321270
      228.000      117054.      115129.    0.0167155
      231.000      114912.      115129.  -0.00188281
       4      41      16.6600      18.0000      1.00000      0.00000
      111.000      115142.      119731.   -0.0383327
      114.000      115330.      119731.   -0.0367568
      117.000      115943.      119731.   -0.0316440
      120.000      117742.      119731.   -0.0166122
      123.000      121248.      119731.    0.0126629
      126.000      124301.      119731.    0.0381640
      129.000      126389.      119731.    0.0556001
      132.000      126806.      119731.    0.0590875
      135.000      126622.      119731.    0.0575462
      138.000      125075.      119731.    0.0446266
      141.000      123409.      119731.    0.0307181
      144.000      122267.      119731.    0.0211793
      147.000      120743.      119731.   0.00844551
      150.000      119080.      119731.  -0.00544437
      153.000      117831.      119731.   -0.0158697
      156.000      117422.      119731.   -0.0192863
      159.000      115851.      119731.   -0.0324117
      162.000      113394.      119731.   -0.0529322
      165.000      111520.      119731.   -0.0685835
      168.000      111086.      119731.   -0.0722093
      171.000      111705.      119731.   -0.0670377
      174.000      114200.      119731.   -0.0461948
      177.000      117592.      119731.   -0.0178646
      180.000      120553.      119731.   0.00686038
      183.000      120969.      119731.    0.0103343
      186.000      119123.      119731.  -0.00507980
      189.000      117881.      119731.   -0.0154582
      192.000      117512.      119731.   -0.0185345
      195.000      119351.      119731.  -0.00318032
      198.000      120815.      119731.   0.00904828
      201.000      123525.      119731.    0.0316878
      204.000      125336.      119731.    0.0468085
      207.000      126309.      119731.    0.0549360
      210.000      125283.      119731.    0.0463666
      213.000      124864.      119731.    0.0428693
      216.000      124009.      119731.    0.0357233
      219.000      123414.      119731.    0.0307587
      222.000      122005.      119731.    0.0189924
      225.000      119789.      119731.  0.000480801
      228.000      115848.      119731.   -0.0324361
      231.000      110460.      119731.   -0.0774393
       5      41      16.6600      21.0000      1.00000      0.00000
      111.000      113358.      112046.    0.0117127
      114.000      111095.      112046.  -0.00848280
      117.000      110097.      112046.   -0.0173967
      120.000      110566.      112046.   -0.0132102
      123.000      111288.      112046.  -0.00676107
      126.000      112668.      112046.   0.00555379
      129.000      113321.      112046.    0.0113827
      132.000      112543.      112046.   0.00443351
      135.000      110749.      112046.   -0.0115711
      138.000      108808.      112046.   -0.0288992
      141.000      109266.      112046.   -0.0248099
      144.000      111708.      112046.  -0.00301127
      147.000      115034.      112046.    0.0266654
      150.000      117691.      112046.    0.0503843
      153.000      119010.      112046.    0.0621538
      156.000      119393.      112046.    0.0655686
      159.000      118781.      112046.    0.0601110
      162.000      116982.      112046.    0.0440550
      165.000      115572.      112046.    0.0314733
      168.000      112432.      112046.   0.00344312
      171.000      108135.      112046.   -0.0349016
      174.000      102475.      112046.   -0.0854193
      177.000      98604.5      112046.    -0.119963
      180.000      97377.4      112046.    -0.130915
      183.000      99605.0      112046.    -0.111034
      186.000      104293.      112046.   -0.0691927
      189.000      109616.      112046.   -0.0216825
      192.000      114345.      112046.    0.0205174
      195.000      117673.      112046.    0.0502188
      198.000      119880.      112046.    0.0699222
      201.000      120657.      112046.    0.0768565
      204.000      120146.      112046.    0.0722891
      207.000      118988.      112046.    0.0619618
      210.000      117225.      112046.    0.0462225
      213.000      114244.      112046.    0.0196221
      216.000      111127.      112046.  -0.00819824
      219.000      109128.      112046.   -0.0260457
      222.000      109135.      112046.   -0.0259800
      225.000      110114.      112046.   -0.0172413
      228.000      110512.      112046.   -0.0136903
      231.000      110145.      112046.   -0.0169633
       6      41      16.6600      24.0000      1.00000      0.00000
      111.000      111249.      108836.    0.0221744
      114.000      109775.      108836.   0.00863348
      117.000      108583.      108836.  -0.00231878
      120.000      108466.      108836.  -0.00339348
      123.000      107945.      108836.  -0.00818424
      126.000      108528.      108836.  -0.00282789
      129.000      107730.      108836.   -0.0101622
      132.000      107495.      108836.   -0.0123189
      135.000      105841.      108836.   -0.0275168
      138.000      105850.      108836.   -0.0274300
      141.000      106575.      108836.   -0.0207704
      144.000      107878.      108836.  -0.00880146
      147.000      108843.      108836.  6.88864e-05
      150.000      109250.      108836.   0.00380469
      153.000      110813.      108836.    0.0181682
      156.000      112514.      108836.    0.0337950
      159.000      114111.      108836.    0.0484673
      162.000      115291.      108836.    0.0593148
      165.000      116022.      108836.    0.0660260
      168.000      115136.      108836.    0.0578924
      171.000      111007.      108836.    0.0199506
      174.000      105153.      108836.   -0.0338410
      177.000      99183.0      108836.   -0.0886907
      180.000      97227.7      108836.    -0.106656
      183.000      98488.3      108836.   -0.0950737
      186.000      103826.      108836.   -0.0460311
      189.000      109284.      108836.   0.00412262
      192.000      113358.      108836.    0.0415495
      195.000      113878.      108836.    0.0463264
      198.000      112761.      108836.    0.0360676
      201.000      111926.      108836.    0.0283960
      204.000      111040.      108836.    0.0202499
      207.000      110548.      108836.    0.0157374
      210.000      109816.      108836.   0.00900394
      213.000      109441.      108836.   0.00555889
      216.000      107841.      108836.  -0.00913745
      219.000      105924.      108836.   -0.0267504
      222.000      105499.      108836.   -0.0306577
      225.000      107545.      108836.   -0.0118633
      228.000      109739.      108836.   0.00830069
      231.000      110882.      108836.    0.0188007
       7      41      16.6600      27.0000      1.00000      0.00000
      111.000      99246.7      108243.   -0.0831152
      114.000      108275.      108243.  0.000291098
      117.000      115146.      108243.    0.0637662
      120.000      118639.      108243.    0.0960378
      123.000      116289.      108243.    0.0743303
      126.000      112238.      108243.    0.0369011
      129.000      108152.      108243. -0.000840859
      132.000      106030.      108243.   -0.0204490
      135.000      105242.      108243.   -0.0277242
      138.000      105027.      108243.   -0.0297170
      141.000      105103.      108243.   -0.0290134
      144.000      103460.      108243.   -0.0441950
      147.000      99882.2      108243.   -0.0772441
      150.000      97101.5      108243.    -0.102934
      153.000      96565.9      108243.    -0.107881
      156.000      98946.6      108243.   -0.0858876
      159.000      101557.      108243.   -0.0617701
      162.000      104751.      108243.   -0.0322653
      165.000      108741.      108243.   0.00459641
      168.000      114661.      108243.    0.0592880
      171.000      119285.      108243.     0.102008
      174.000      122020.      108243.     0.127273
      177.000      121362.      108243.     0.121197
      180.000      120608.      108243.     0.114230
      183.000      119787.      108243.     0.106648
      186.000      118448.      108243.    0.0942730
      189.000      115829.      108243.    0.0700790
      192.000      111214.      108243.    0.0274466
      195.000      106193.      108243.   -0.0189463
      198.000      102124.      108243.   -0.0565350
      201.000      99645.3      108243.   -0.0794332
      204.000      98039.1      108243.   -0.0942715
      207.000      96219.5      108243.    -0.111082
      210.000      96630.4      108243.    -0.107286
      213.000      99601.5      108243.   -0.0798377
      216.000      103585.      108243.   -0.0430329
      219.000      106381.      108243.   -0.0172018
