   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug 24, 2025

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  11.3 and   1.00 angstrom
   cluster size=  90 atoms and spacings=  0.00  1.43  1.43 angstrom
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   7.88 g/cm3     molecular weight= 187.44 amu
   effective weight=   55.8 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
    2.5    2.9354e-01    2.9718e-01   -1.2247e-02   -2.6072e-02
    5.5    2.9387e-01    2.9718e-01   -1.1114e-02   -6.9412e-02
    8.5    2.9456e-01    2.9718e-01   -8.8138e-03   -5.8235e-03
   11.5    2.9543e-01    2.9718e-01   -5.8918e-03   -5.1093e-02
   14.5    2.9630e-01    2.9718e-01   -2.9452e-03    5.2910e-03
   17.5    2.9717e-01    2.9718e-01   -2.8670e-05   -2.1060e-02
   20.5    2.9790e-01    2.9718e-01    2.4450e-03   -2.9163e-03
   23.5    2.9841e-01    2.9718e-01    4.1389e-03    3.4551e-02
   26.5    2.9877e-01    2.9718e-01    5.3717e-03    4.0686e-02
   29.5    2.9887e-01    2.9718e-01    5.6813e-03    1.2766e-02
   32.5    2.9884e-01    2.9718e-01    5.5938e-03    4.3460e-02
   35.5    2.9878e-01    2.9718e-01    5.4023e-03    4.5645e-02
   38.5    2.9859e-01    2.9718e-01    4.7582e-03    8.6609e-02
   41.5    2.9852e-01    2.9718e-01    4.5033e-03    3.8164e-03
   44.5    2.9850e-01    2.9718e-01    4.4602e-03    8.9904e-02
   47.5    2.9851e-01    2.9718e-01    4.4848e-03    2.5472e-02
   50.5    2.9860e-01    2.9718e-01    4.7725e-03    2.6058e-02
   53.5    2.9870e-01    2.9718e-01    5.1162e-03    2.6541e-02
   56.5    2.9880e-01    2.9718e-01    5.4429e-03   -3.8696e-02
   59.5    2.9889e-01    2.9718e-01    5.7530e-03    3.4664e-02
   62.5    2.9882e-01    2.9718e-01    5.5333e-03   -2.2985e-02
   65.5    2.9851e-01    2.9718e-01    4.4867e-03   -2.1568e-02
   68.5    2.9811e-01    2.9718e-01    3.1286e-03    1.1815e-02
   71.5    2.9754e-01    2.9718e-01    1.2251e-03    1.7354e-02
   74.5    2.9657e-01    2.9718e-01   -2.0504e-03   -6.3473e-02
   77.5    2.9569e-01    2.9718e-01   -5.0209e-03    3.4109e-02
   80.5    2.9479e-01    2.9718e-01   -8.0406e-03   -1.4482e-02
   83.5    2.9412e-01    2.9718e-01   -1.0289e-02   -7.2249e-02
   86.5    2.9361e-01    2.9718e-01   -1.2000e-02   -6.2121e-02
   89.5    2.9347e-01    2.9718e-01   -1.2472e-02   -7.2666e-02
   92.5    2.9351e-01    2.9718e-01   -1.2336e-02   -2.6072e-02
   95.5    2.9399e-01    2.9718e-01   -1.0716e-02   -6.9412e-02
   98.5    2.9456e-01    2.9718e-01   -8.8040e-03   -5.8236e-03
  101.5    2.9548e-01    2.9718e-01   -5.7196e-03   -5.1093e-02
  104.5    2.9642e-01    2.9718e-01   -2.5570e-03    5.2910e-03
  107.5    2.9725e-01    2.9718e-01    2.3627e-04   -2.1060e-02
  110.5    2.9802e-01    2.9718e-01    2.8360e-03   -2.9163e-03
  113.5    2.9858e-01    2.9718e-01    4.7168e-03    3.4551e-02
  116.5    2.9882e-01    2.9718e-01    5.5305e-03    4.0686e-02
  119.5    2.9886e-01    2.9718e-01    5.6530e-03    1.2766e-02
  122.5    2.9880e-01    2.9718e-01    5.4436e-03    4.3460e-02
  125.5    2.9889e-01    2.9718e-01    5.7627e-03    4.5645e-02
  128.5    2.9893e-01    2.9718e-01    5.8978e-03    8.6609e-02
  131.5    2.9882e-01    2.9718e-01    5.5400e-03    3.8164e-03
  134.5    2.9881e-01    2.9718e-01    5.4846e-03    8.9904e-02
  137.5    2.9888e-01    2.9718e-01    5.7223e-03    2.5472e-02
  140.5    2.9893e-01    2.9718e-01    5.9031e-03    2.6057e-02
  143.5    2.9903e-01    2.9718e-01    6.2410e-03    2.6541e-02
  146.5    2.9888e-01    2.9718e-01    5.7148e-03   -3.8696e-02
  149.5    2.9890e-01    2.9718e-01    5.8091e-03    3.4664e-02
  152.5    2.9893e-01    2.9718e-01    5.8849e-03   -2.2985e-02
  155.5    2.9871e-01    2.9718e-01    5.1733e-03   -2.1568e-02
  158.5    2.9814e-01    2.9718e-01    3.2414e-03    1.1815e-02
  161.5    2.9741e-01    2.9718e-01    7.8058e-04    1.7354e-02
  164.5    2.9654e-01    2.9718e-01   -2.1605e-03   -6.3473e-02
  167.5    2.9559e-01    2.9718e-01   -5.3488e-03    3.4109e-02
  170.5    2.9470e-01    2.9718e-01   -8.3399e-03   -1.4482e-02
  173.5    2.9392e-01    2.9718e-01   -1.0954e-02   -7.2249e-02
  176.5    2.9350e-01    2.9718e-01   -1.2372e-02   -6.2121e-02
  179.5    2.9324e-01    2.9718e-01   -1.3264e-02   -7.2666e-02
  182.5    2.9346e-01    2.9718e-01   -1.2515e-02   -2.6072e-02
  185.5    2.9380e-01    2.9718e-01   -1.1371e-02   -6.9412e-02
  188.5    2.9459e-01    2.9718e-01   -8.7072e-03   -5.8235e-03
  191.5    2.9551e-01    2.9718e-01   -5.6239e-03   -5.1093e-02
  194.5    2.9642e-01    2.9718e-01   -2.5456e-03    5.2910e-03
  197.5    2.9732e-01    2.9718e-01    4.9210e-04   -2.1060e-02
  200.5    2.9814e-01    2.9718e-01    3.2406e-03   -2.9163e-03
  203.5    2.9868e-01    2.9718e-01    5.0491e-03    3.4551e-02
  206.5    2.9904e-01    2.9718e-01    6.2824e-03    4.0686e-02
  209.5    2.9919e-01    2.9718e-01    6.7809e-03    1.2766e-02
  212.5    2.9916e-01    2.9718e-01    6.6713e-03    4.3460e-02
  215.5    2.9911e-01    2.9718e-01    6.5188e-03    4.5645e-02
  218.5    2.9893e-01    2.9718e-01    5.8877e-03    8.6609e-02
  221.5    2.9884e-01    2.9718e-01    5.6092e-03    3.8164e-03
  224.5    2.9883e-01    2.9718e-01    5.5766e-03    8.9904e-02
  227.5    2.9884e-01    2.9718e-01    5.5896e-03    2.5472e-02
  230.5    2.9893e-01    2.9718e-01    5.8939e-03    2.6057e-02
  233.5    2.9903e-01    2.9718e-01    6.2249e-03    2.6541e-02
  236.5    2.9914e-01    2.9718e-01    6.5873e-03   -3.8696e-02
  239.5    2.9922e-01    2.9718e-01    6.8636e-03    3.4664e-02
  242.5    2.9906e-01    2.9718e-01    6.3449e-03   -2.2985e-02
  245.5    2.9878e-01    2.9718e-01    5.4064e-03   -2.1568e-02
  248.5    2.9836e-01    2.9718e-01    3.9672e-03    1.1815e-02
  251.5    2.9775e-01    2.9718e-01    1.9333e-03    1.7354e-02
  254.5    2.9672e-01    2.9718e-01   -1.5333e-03   -6.3473e-02
  257.5    2.9578e-01    2.9718e-01   -4.6996e-03    3.4109e-02
  260.5    2.9484e-01    2.9718e-01   -7.8747e-03   -1.4482e-02
  263.5    2.9412e-01    2.9718e-01   -1.0300e-02   -7.2249e-02
  266.5    2.9349e-01    2.9718e-01   -1.2405e-02   -6.2121e-02
  269.5    2.9336e-01    2.9718e-01   -1.2830e-02   -7.2666e-02
  272.5    2.9329e-01    2.9718e-01   -1.3074e-02   -2.6072e-02
  275.5    2.9383e-01    2.9718e-01   -1.1281e-02   -6.9412e-02
  278.5    2.9433e-01    2.9718e-01   -9.5717e-03   -5.8236e-03
  281.5    2.9528e-01    2.9718e-01   -6.3689e-03   -5.1093e-02
  284.5    2.9626e-01    2.9718e-01   -3.0751e-03    5.2910e-03
  287.5    2.9715e-01    2.9718e-01   -7.8917e-05   -2.1060e-02
  290.5    2.9792e-01    2.9718e-01    2.5049e-03   -2.9163e-03
  293.5    2.9858e-01    2.9718e-01    4.7350e-03    3.4551e-02
  296.5    2.9886e-01    2.9718e-01    5.6679e-03    4.0686e-02
  299.5    2.9890e-01    2.9718e-01    5.7838e-03    1.2766e-02
  302.5    2.9887e-01    2.9718e-01    5.6789e-03    4.3460e-02
  305.5    2.9892e-01    2.9718e-01    5.8506e-03    4.5645e-02
  308.5    2.9898e-01    2.9718e-01    6.0767e-03    8.6609e-02
  311.5    2.9886e-01    2.9718e-01    5.6528e-03    3.8164e-03
