   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug 24, 2025

   initial angular momentum (li) = 0   msorder=  0   raorder=-1
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  11.3 and   1.00 angstrom
   cluster size=  90 atoms and spacings=  0.00  1.43  1.43 angstrom
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   7.88 g/cm3     molecular weight= 187.44 amu
   effective weight=   55.8 amu
   half aperture angle=    3.0 deg            pathcut=     0.0000

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
    2.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.6072e-02
    5.5    3.3078e-01    3.3078e-01    0.0000e+00   -6.9412e-02
    8.5    3.3078e-01    3.3078e-01    1.1921e-07   -5.8235e-03
   11.5    3.3078e-01    3.3078e-01    1.1921e-07   -5.1093e-02
   14.5    3.3078e-01    3.3078e-01    0.0000e+00    5.2910e-03
   17.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.1060e-02
   20.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.9163e-03
   23.5    3.3078e-01    3.3078e-01    1.1921e-07    3.4551e-02
   26.5    3.3078e-01    3.3078e-01    1.1921e-07    4.0686e-02
   29.5    3.3078e-01    3.3078e-01    1.1921e-07    1.2766e-02
   32.5    3.3078e-01    3.3078e-01    0.0000e+00    4.3460e-02
   35.5    3.3078e-01    3.3078e-01    0.0000e+00    4.5645e-02
   38.5    3.3078e-01    3.3078e-01    0.0000e+00    8.6609e-02
   41.5    3.3078e-01    3.3078e-01    0.0000e+00    3.8164e-03
   44.5    3.3078e-01    3.3078e-01    1.1921e-07    8.9904e-02
   47.5    3.3078e-01    3.3078e-01    1.1921e-07    2.5472e-02
   50.5    3.3078e-01    3.3078e-01    0.0000e+00    2.6058e-02
   53.5    3.3078e-01    3.3078e-01    0.0000e+00    2.6541e-02
   56.5    3.3078e-01    3.3078e-01    0.0000e+00   -3.8696e-02
   59.5    3.3078e-01    3.3078e-01    1.1921e-07    3.4664e-02
   62.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.2985e-02
   65.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.1568e-02
   68.5    3.3078e-01    3.3078e-01    0.0000e+00    1.1815e-02
   71.5    3.3078e-01    3.3078e-01    0.0000e+00    1.7354e-02
   74.5    3.3078e-01    3.3078e-01    0.0000e+00   -6.3473e-02
   77.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4109e-02
   80.5    3.3078e-01    3.3078e-01    0.0000e+00   -1.4482e-02
   83.5    3.3078e-01    3.3078e-01    0.0000e+00   -7.2249e-02
   86.5    3.3078e-01    3.3078e-01    1.1921e-07   -6.2121e-02
   89.5    3.3078e-01    3.3078e-01    1.1921e-07   -7.2666e-02
   92.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.6072e-02
   95.5    3.3078e-01    3.3078e-01    0.0000e+00   -6.9412e-02
   98.5    3.3078e-01    3.3078e-01    0.0000e+00   -5.8236e-03
  101.5    3.3078e-01    3.3078e-01    0.0000e+00   -5.1093e-02
  104.5    3.3078e-01    3.3078e-01    0.0000e+00    5.2910e-03
  107.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.1060e-02
  110.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.9163e-03
  113.5    3.3078e-01    3.3078e-01    1.1921e-07    3.4551e-02
  116.5    3.3078e-01    3.3078e-01    0.0000e+00    4.0686e-02
  119.5    3.3078e-01    3.3078e-01    1.1921e-07    1.2766e-02
  122.5    3.3078e-01    3.3078e-01    1.1921e-07    4.3460e-02
  125.5    3.3078e-01    3.3078e-01    1.1921e-07    4.5645e-02
  128.5    3.3078e-01    3.3078e-01    0.0000e+00    8.6609e-02
  131.5    3.3078e-01    3.3078e-01    1.1921e-07    3.8164e-03
  134.5    3.3078e-01    3.3078e-01    0.0000e+00    8.9904e-02
  137.5    3.3078e-01    3.3078e-01    0.0000e+00    2.5472e-02
  140.5    3.3078e-01    3.3078e-01    0.0000e+00    2.6057e-02
  143.5    3.3078e-01    3.3078e-01    0.0000e+00    2.6541e-02
  146.5    3.3078e-01    3.3078e-01    1.1921e-07   -3.8696e-02
  149.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4664e-02
  152.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.2985e-02
  155.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.1568e-02
  158.5    3.3078e-01    3.3078e-01    0.0000e+00    1.1815e-02
  161.5    3.3078e-01    3.3078e-01    1.1921e-07    1.7354e-02
  164.5    3.3078e-01    3.3078e-01    1.1921e-07   -6.3473e-02
  167.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4109e-02
  170.5    3.3078e-01    3.3078e-01    0.0000e+00   -1.4482e-02
  173.5    3.3078e-01    3.3078e-01    1.1921e-07   -7.2249e-02
  176.5    3.3078e-01    3.3078e-01    0.0000e+00   -6.2121e-02
  179.5    3.3078e-01    3.3078e-01    0.0000e+00   -7.2666e-02
  182.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.6072e-02
  185.5    3.3078e-01    3.3078e-01    1.1921e-07   -6.9412e-02
  188.5    3.3078e-01    3.3078e-01    0.0000e+00   -5.8235e-03
  191.5    3.3078e-01    3.3078e-01    1.1921e-07   -5.1093e-02
  194.5    3.3078e-01    3.3078e-01    0.0000e+00    5.2910e-03
  197.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.1060e-02
  200.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.9163e-03
  203.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4551e-02
  206.5    3.3078e-01    3.3078e-01    0.0000e+00    4.0686e-02
  209.5    3.3078e-01    3.3078e-01    0.0000e+00    1.2766e-02
  212.5    3.3078e-01    3.3078e-01    0.0000e+00    4.3460e-02
  215.5    3.3078e-01    3.3078e-01    1.1921e-07    4.5645e-02
  218.5    3.3078e-01    3.3078e-01    0.0000e+00    8.6609e-02
  221.5    3.3078e-01    3.3078e-01    0.0000e+00    3.8164e-03
  224.5    3.3078e-01    3.3078e-01    0.0000e+00    8.9904e-02
  227.5    3.3078e-01    3.3078e-01    0.0000e+00    2.5472e-02
  230.5    3.3078e-01    3.3078e-01    1.1921e-07    2.6057e-02
  233.5    3.3078e-01    3.3078e-01    0.0000e+00    2.6541e-02
  236.5    3.3078e-01    3.3078e-01    0.0000e+00   -3.8696e-02
  239.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4664e-02
  242.5    3.3078e-01    3.3078e-01    1.1921e-07   -2.2985e-02
  245.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.1568e-02
  248.5    3.3078e-01    3.3078e-01    0.0000e+00    1.1815e-02
  251.5    3.3078e-01    3.3078e-01    0.0000e+00    1.7354e-02
  254.5    3.3078e-01    3.3078e-01    1.1921e-07   -6.3473e-02
  257.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4109e-02
  260.5    3.3078e-01    3.3078e-01    1.1921e-07   -1.4482e-02
  263.5    3.3078e-01    3.3078e-01    0.0000e+00   -7.2249e-02
  266.5    3.3078e-01    3.3078e-01    0.0000e+00   -6.2121e-02
  269.5    3.3078e-01    3.3078e-01    0.0000e+00   -7.2666e-02
  272.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.6072e-02
  275.5    3.3078e-01    3.3078e-01    1.1921e-07   -6.9412e-02
  278.5    3.3078e-01    3.3078e-01    0.0000e+00   -5.8236e-03
  281.5    3.3078e-01    3.3078e-01    1.1921e-07   -5.1093e-02
  284.5    3.3078e-01    3.3078e-01    1.1921e-07    5.2910e-03
  287.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.1060e-02
  290.5    3.3078e-01    3.3078e-01    0.0000e+00   -2.9163e-03
  293.5    3.3078e-01    3.3078e-01    0.0000e+00    3.4551e-02
  296.5    3.3078e-01    3.3078e-01    1.1921e-07    4.0686e-02
  299.5    3.3078e-01    3.3078e-01    0.0000e+00    1.2766e-02
  302.5    3.3078e-01    3.3078e-01    1.1921e-07    4.3460e-02
  305.5    3.3078e-01    3.3078e-01    1.1921e-07    4.5645e-02
  308.5    3.3078e-01    3.3078e-01    1.1921e-07    8.6609e-02
  311.5    3.3078e-01    3.3078e-01    0.0000e+00    3.8164e-03
  314.5    3.3078e-01    3.3078e-01    1.1921e-07    8.9904e-02
