   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV

 provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20    2400       1      20     120    2400
       1     120      14.31000      12      1.00000      0.00000
      2.50000      34142.2      32638.6   -0.0260717
      5.50000      35845.0      32638.6   -0.0694124
      8.50000      38083.9      32638.6   -0.0058235
      11.5000      33533.2      32638.6   -0.0510925
      14.5000      36793.9      32638.6    0.0052910
      17.5000      35709.1      32638.6   -0.0210604
      20.5000      34740.2      32638.6   -0.0029163
      23.5000      35292.0      32638.6    0.0345507
      26.5000      38742.6      32638.6    0.0406859
      29.5000      36709.1      32638.6    0.0127660
      32.5000      37762.1      32638.6    0.0434597
      35.5000      32970.8      32638.6    0.0456454
      38.5000      39775.3      32638.6    0.0866091
      41.5000      35922.2      32638.6    0.0038164
      44.5000      36674.8      32638.6    0.0899039
      47.5000      37294.5      32638.6    0.0254722
      50.5000      37018.1      32638.6    0.0260575
      53.5000      34685.9      32638.6    0.0265408
      56.5000      39186.6      32638.6   -0.0386963
      59.5000      38435.5      32638.6    0.0346639
      62.5000      35997.2      32638.6   -0.0229854
      65.5000      35158.3      32638.6   -0.0215681
      68.5000      36097.0      32638.6    0.0118152
      71.5000      35766.3      32638.6    0.0173538
      74.5000      35678.2      32638.6   -0.0634731
      77.5000      38538.0      32638.6    0.0341088
      80.5000      40823.1      32638.6   -0.0144820
      83.5000      36330.7      32638.6   -0.0722486
      86.5000      34901.6      32638.6   -0.0621214
      89.5000      33621.8      32638.6   -0.0726662
      92.5000      35783.0      32638.6   -0.0260717
      95.5000      27203.7      32638.6   -0.0694125
      98.5000      34530.0      32638.6   -0.0058236
      101.500      33833.7      32638.6   -0.0510925
      104.500      35981.6      32638.6    0.0052910
      107.500      32750.6      32638.6   -0.0210604
      110.500      35469.4      32638.6   -0.0029163
      113.500      37707.1      32638.6    0.0345506
      116.500      36035.0      32638.6    0.0406859
      119.500      30886.2      32638.6    0.0127660
      122.500      35557.3      32638.6    0.0434597
      125.500      34540.3      32638.6    0.0456454
      128.500      33574.9      32638.6    0.0866091
      131.500      28794.4      32638.6    0.0038164
      134.500      33939.3      32638.6    0.0899039
      137.500      34340.7      32638.6    0.0254722
      140.500      30630.1      32638.6    0.0260574
      143.500      34578.7      32638.6    0.0265408
      146.500      29071.6      32638.6   -0.0386963
      149.500      28747.9      32638.6    0.0346639
      152.500      25944.7      32638.6   -0.0229854
      155.500      30572.7      32638.6   -0.0215681
      158.500      30784.6      32638.6    0.0118152
      161.500      29739.8      32638.6    0.0173538
      164.500      26601.4      32638.6   -0.0634731
      167.500      29251.3      32638.6    0.0341087
      170.500      29237.2      32638.6   -0.0144820
      173.500      25065.7      32638.6   -0.0722486
      176.500      26113.7      32638.6   -0.0621214
      179.500      24213.5      32638.6   -0.0726662
      182.500      25351.2      32638.6   -0.0260717
      185.500      25995.7      32638.6   -0.0694125
      188.500      27482.0      32638.6   -0.0058235
      191.500      24746.1      32638.6   -0.0510925
      194.500      24219.2      32638.6    0.0052910
      197.500      26327.4      32638.6   -0.0210604
      200.500      26655.8      32638.6   -0.0029163
      203.500      29022.4      32638.6    0.0345507
      206.500      29290.4      32638.6    0.0406859
      209.500      32038.0      32638.6    0.0127660
      212.500      28141.7      32638.6    0.0434597
      215.500      27090.9      32638.6    0.0456454
      218.500      31310.7      32638.6    0.0866091
      221.500      29244.0      32638.6    0.0038164
      224.500      32266.5      32638.6    0.0899039
      227.500      26174.0      32638.6    0.0254722
      230.500      30589.5      32638.6    0.0260574
      233.500      26364.2      32638.6    0.0265408
      236.500      22469.1      32638.6   -0.0386963
      239.500      30532.9      32638.6    0.0346639
      242.500      29603.1      32638.6   -0.0229854
      245.500      25580.4      32638.6   -0.0215681
      248.500      29126.4      32638.6    0.0118152
      251.500      28710.2      32638.6    0.0173538
      254.500      26662.4      32638.6   -0.0634731
      257.500      30931.0      32638.6    0.0341087
      260.500      24801.7      32638.6   -0.0144820
      263.500      24879.8      32638.6   -0.0722486
      266.500      26606.5      32638.6   -0.0621214
      269.500      26926.9      32638.6   -0.0726662
      272.500      32186.3      32638.6   -0.0260717
      275.500      32186.3      32638.6   -0.0694125
      278.500      30149.2      32638.6   -0.0058236
      281.500      32060.6      32638.6   -0.0510925
      284.500      35036.7      32638.6    0.0052910
      287.500      33190.7      32638.6   -0.0210604
      290.500      33384.1      32638.6   -0.0029163
      293.500      32768.7      32638.6    0.0345507
      296.500      31779.3      32638.6    0.0406859
      299.500      31684.9      32638.6    0.0127660
      302.500      34533.4      32638.6    0.0434597
      305.500      41138.9      32638.6    0.0456454
      308.500      36850.5      32638.6    0.0866091
      311.500      36713.6      32638.6    0.0038164
      314.500      38429.4      32638.6    0.0899039
      317.500      35978.3      32638.6    0.0254722
      320.500      35109.1      32638.6    0.0260574
      323.500      37884.2      32638.6    0.0265408
      326.500      35784.3      32638.6   -0.0386963
      329.500      37296.0      32638.6    0.0346639
      332.500      36041.3      32638.6   -0.0229854
      335.500      36371.8      32638.6   -0.0215681
      338.500      35660.7      32638.6    0.0118152
      341.500      38583.7      32638.6    0.0173538
      344.500      33596.7      32638.6   -0.0634731
      347.500      36328.7      32638.6    0.0341087
      350.500      34529.7      32638.6   -0.0144820
      353.500      35885.8      32638.6   -0.0722486
      356.500      35381.5      32638.6   -0.0621214
      359.500      37263.5      32638.6   -0.0726662
       2     120      14.31000      15      1.00000      0.00000
      2.50000      33853.9      31066.6   -0.0371862
      5.50000      32619.0      31066.6   -0.0577461
      8.50000      30610.9      31066.6   -0.0526067
      11.5000      29627.5      31066.6   -0.0212607
      14.5000      35028.8      31066.6   -0.0277267
      17.5000      29812.1      31066.6   -0.1104251
      20.5000      30605.1      31066.6   -0.0182089
      23.5000      29751.1      31066.6   -0.0746804
      26.5000      31443.8      31066.6   -0.0145345
      29.5000      33233.0      31066.6    0.0276842
      32.5000      31786.3      31066.6    0.0348023
      35.5000      36662.2      31066.6    0.1877220
      38.5000      33889.9      31066.6    0.0604919
      41.5000      33859.1      31066.6    0.0445890
      44.5000      34945.2      31066.6    0.1156476
      47.5000      35609.6      31066.6    0.0943343
      50.5000      31382.8      31066.6    0.0401122
      53.5000      37784.3      31066.6    0.1114911
      56.5000      34707.7      31066.6    0.0630441
      59.5000      34922.0      31066.6    0.0059340
      62.5000      33361.4      31066.6   -0.0329902
      65.5000      30521.9      31066.6   -0.0955686
      68.5000      25070.0      31066.6   -0.1049094
      71.5000      32482.9      31066.6   -0.0295786
      74.5000      32610.5      31066.6    0.0193771
      77.5000      31285.3      31066.6   -0.0551028
      80.5000      30420.6      31066.6   -0.0081431
      83.5000      29082.3      31066.6   -0.0285937
      86.5000      31290.5      31066.6   -0.0250708
      89.5000      29082.5      31066.6   -0.0101977
      92.5000      31921.6      31066.6   -0.0371862
      95.5000      29319.1      31066.6   -0.0577461
      98.5000      30678.4      31066.6   -0.0526067
      101.500      32096.4      31066.6   -0.0212608
      104.500      29316.4      31066.6   -0.0277267
      107.500      28028.0      31066.6   -0.1104251
      110.500      30767.3      31066.6   -0.0182089
      113.500      27951.5      31066.6   -0.0746804
      116.500      33732.0      31066.6   -0.0145345
      119.500      32726.0      31066.6    0.0276842
      122.500      29948.9      31066.6    0.0348022
      125.500      37504.5      31066.6    0.1877220
      128.500      37138.2      31066.6    0.0604919
      131.500      37492.7      31066.6    0.0445890
      134.500      38741.2      31066.6    0.1156476
      137.500      37534.6      31066.6    0.0943343
      140.500      35242.0      31066.6    0.0401122
      143.500      38050.2      31066.6    0.1114911
      146.500      35927.6      31066.6    0.0630441
      149.500      32435.0      31066.6    0.0059340
      152.500      30756.1      31066.6   -0.0329903
      155.500      29207.2      31066.6   -0.0955686
      158.500      32971.1      31066.6   -0.1049094
      161.500      28942.5      31066.6   -0.0295787
      164.500      30540.5      31066.6    0.0193771
      167.500      29425.6      31066.6   -0.0551028
      170.500      30564.7      31066.6   -0.0081432
      173.500      32377.9      31066.6   -0.0285937
      176.500      29778.1      31066.6   -0.0250708
      179.500      27897.1      31066.6   -0.0101977
      182.500      25654.0      31066.6   -0.0371862
      185.500      28903.1      31066.6   -0.0577461
      188.500      22612.6      31066.6   -0.0526067
      191.500      26723.7      31066.6   -0.0212608
      194.500      27300.1      31066.6   -0.0277267
      197.500      24003.5      31066.6   -0.1104251
      200.500      25247.8      31066.6   -0.0182089
      203.500      26854.3      31066.6   -0.0746804
      206.500      26255.1      31066.6   -0.0145345
      209.500      27584.0      31066.6    0.0276842
      212.500      32010.2      31066.6    0.0348022
      215.500      34148.9      31066.6    0.1877220
      218.500      30593.5      31066.6    0.0604919
      221.500      31187.7      31066.6    0.0445890
      224.500      30248.0      31066.6    0.1156475
      227.500      31544.0      31066.6    0.0943343
      230.500      29928.2      31066.6    0.0401122
      233.500      30298.3      31066.6    0.1114911
      236.500      28618.2      31066.6    0.0630441
      239.500      23511.5      31066.6    0.0059340
      242.500      26165.8      31066.6   -0.0329903
      245.500      21495.8      31066.6   -0.0955686
      248.500      22963.4      31066.6   -0.1049094
      251.500      27024.5      31066.6   -0.0295787
      254.500      28770.2      31066.6    0.0193771
      257.500      27248.6      31066.6   -0.0551028
      260.500      28058.5      31066.6   -0.0081432
      263.500      26819.2      31066.6   -0.0285937
      266.500      27368.4      31066.6   -0.0250708
      269.500      30138.6      31066.6   -0.0101977
      272.500      27595.1      31066.6   -0.0371862
      275.500      25277.2      31066.6   -0.0577461
      278.500      32433.8      31066.6   -0.0526067
      281.500      31318.5      31066.6   -0.0212607
      284.500      27630.8      31066.6   -0.0277267
      287.500      26887.2      31066.6   -0.1104251
      290.500      32907.1      31066.6   -0.0182089
      293.500      27816.0      31066.6   -0.0746804
      296.500      28015.6      31066.6   -0.0145345
      299.500      30745.1      31066.6    0.0276842
      302.500      30699.8      31066.6    0.0348022
      305.500      34091.2      31066.6    0.1877220
      308.500      34351.4      31066.6    0.0604919
      311.500      31125.2      31066.6    0.0445890
      314.500      38453.4      31066.6    0.1156475
      317.500      34504.2      31066.6    0.0943343
      320.500      35190.3      31066.6    0.0401122
      323.500      34864.5      31066.6    0.1114911
      326.500      35193.5      31066.6    0.0630441
      329.500      36567.9      31066.6    0.0059340
      332.500      31492.0      31066.6   -0.0329903
      335.500      32798.5      31066.6   -0.0955686
      338.500      31167.2      31066.6   -0.1049094
      341.500      32889.3      31066.6   -0.0295787
      344.500      35212.1      31066.6    0.0193771
      347.500      29559.0      31066.6   -0.0551028
      350.500      34146.1      31066.6   -0.0081432
      353.500      32060.2      31066.6   -0.0285937
      356.500      32247.1      31066.6   -0.0250708
      359.500      35123.4      31066.6   -0.0101977
       3     120      14.31000      18      1.00000      0.00000
      2.50000      41935.3      36774.7    0.0819013
      5.50000      39517.9      36774.7   -0.1348743
      8.50000      43105.5      36774.7   -0.0194898
      11.5000      39541.6      36774.7   -0.0436178
      14.5000      35308.6      36774.7   -0.1290660
      17.5000      38938.2      36774.7   -0.0845047
      20.5000      34247.6      36774.7   -0.1141978
      23.5000      36139.8      36774.7   -0.0578309
      26.5000      39156.9      36774.7   -0.0514573
      29.5000      39373.7      36774.7   -0.0404693
      32.5000      39373.7      36774.7    0.0476749
      35.5000      38097.8      36774.7    0.1086959
      38.5000      40007.9      36774.7    0.1288631
      41.5000      40461.9      36774.7    0.0410411
      44.5000      38368.8      36774.7    0.1435502
      47.5000      38995.1      36774.7    0.0755652
      50.5000      40477.5      36774.7    0.0898676
      53.5000      38846.0      36774.7    0.0924936
      56.5000      40852.2      36774.7    0.0592891
      59.5000      38838.8      36774.7    0.0160873
      62.5000      36960.6      36774.7    0.0255261
      65.5000      36329.1      36774.7   -0.0490775
      68.5000      35289.2      36774.7   -0.0639646
      71.5000      36113.6      36774.7   -0.0700682
      74.5000      38013.7      36774.7   -0.0015890
      77.5000      39981.4      36774.7   -0.0824566
      80.5000      38116.2      36774.7   -0.0108345
      83.5000      38516.8      36774.7    0.0403079
      86.5000      40605.9      36774.7    0.0802410
      89.5000      35927.6      36774.7   -0.0845972
      92.5000      37240.7      36774.7    0.0819013
      95.5000      34377.2      36774.7   -0.1348743
      98.5000      35757.5      36774.7   -0.0194898
      101.500      39972.4      36774.7   -0.0436178
      104.500      35590.1      36774.7   -0.1290660
      107.500      38457.0      36774.7   -0.0845047
      110.500      36574.4      36774.7   -0.1141978
      113.500      36775.3      36774.7   -0.0578309
      116.500      38126.2      36774.7   -0.0514573
      119.500      37678.1      36774.7   -0.0404694
      122.500      40128.9      36774.7    0.0476749
      125.500      44646.0      36774.7    0.1086959
      128.500      44022.2      36774.7    0.1288631
      131.500      38191.0      36774.7    0.0410411
      134.500      50315.4      36774.7    0.1435502
      137.500      44411.0      36774.7    0.0755652
      140.500      32809.9      36774.7    0.0898676
      143.500      47488.9      36774.7    0.0924936
      146.500      33357.0      36774.7    0.0592891
      149.500      46659.7      36774.7    0.0160873
      152.500      37398.7      36774.7    0.0255261
      155.500      31451.9      36774.7   -0.0490775
      158.500      34313.9      36774.7   -0.0639646
      161.500      27916.0      36774.7   -0.0700682
      164.500      36861.6      36774.7   -0.0015891
      167.500      27431.1      36774.7   -0.0824566
      170.500      36443.5      36774.7   -0.0108345
      173.500      42228.8      36774.7    0.0403079
      176.500      42638.0      36774.7    0.0802410
      179.500      23829.9      36774.7   -0.0845972
      182.500      34808.9      36774.7    0.0819013
      185.500      23178.8      36774.7   -0.1348743
      188.500      29081.6      36774.7   -0.0194898
      191.500      26585.6      36774.7   -0.0436178
      194.500      26219.1      36774.7   -0.1290660
      197.500      25616.3      36774.7   -0.0845046
      200.500      28726.4      36774.7   -0.1141978
      203.500      24020.7      36774.7   -0.0578309
      206.500      27112.2      36774.7   -0.0514574
      209.500      27354.1      36774.7   -0.0404693
      212.500      30728.4      36774.7    0.0476749
      215.500      35348.7      36774.7    0.1086959
      218.500      37244.9      36774.7    0.1288631
      221.500      27735.6      36774.7    0.0410411
      224.500      39042.3      36774.7    0.1435502
      227.500      34502.4      36774.7    0.0755652
      230.500      39688.2      36774.7    0.0898676
      233.500      31701.1      36774.7    0.0924936
      236.500      38044.8      36774.7    0.0592891
      239.500      27775.7      36774.7    0.0160873
      242.500      29183.4      36774.7    0.0255261
      245.500      31285.5      36774.7   -0.0490775
      248.500      29121.6      36774.7   -0.0639646
      251.500      34157.5      36774.7   -0.0700682
      254.500      31570.2      36774.7   -0.0015891
      257.500      27844.9      36774.7   -0.0824566
      260.500      32716.8      36774.7   -0.0108345
      263.500      33893.7      36774.7    0.0403079
      266.500      34664.6      36774.7    0.0802410
      269.500      35162.6      36774.7   -0.0845971
      272.500      43714.8      36774.7    0.0819013
      275.500      30452.4      36774.7   -0.1348743
      278.500      35780.9      36774.7   -0.0194898
      281.500      34076.0      36774.7   -0.0436178
      284.500      30050.8      36774.7   -0.1290660
      287.500      30871.8      36774.7   -0.0845047
      290.500      28902.0      36774.7   -0.1141978
      293.500      39938.4      36774.7   -0.0578309
      296.500      33157.3      36774.7   -0.0514573
      299.500      34368.6      36774.7   -0.0404693
      302.500      40368.1      36774.7    0.0476749
      305.500      39829.8      36774.7    0.1086959
      308.500      47854.9      36774.7    0.1288631
      311.500      50429.0      36774.7    0.0410411
      314.500      42899.5      36774.7    0.1435502
      317.500      42697.3      36774.7    0.0755652
      320.500      48555.4      36774.7    0.0898676
      323.500      44935.0      36774.7    0.0924936
      326.500      44694.9      36774.7    0.0592891
      329.500      38048.9      36774.7    0.0160873
      332.500      49024.6      36774.7    0.0255261
      335.500      41834.2      36774.7   -0.0490775
      338.500      39810.4      36774.7   -0.0639646
      341.500      39023.1      36774.7   -0.0700682
      344.500      40813.9      36774.7   -0.0015890
      347.500      41056.7      36774.7   -0.0824566
      350.500      37963.7      36774.7   -0.0108345
      353.500      37335.6      36774.7    0.0403079
      356.500      39925.2      36774.7    0.0802410
      359.500      39903.0      36774.7   -0.0845972
       4     120      14.31000      21      1.00000      0.00000
      2.50000      45397.5      40294.1    0.0446250
      5.50000      48247.3      40294.1    0.0515753
      8.50000      55881.0      40294.1    0.1047401
      11.5000      42858.9      40294.1    0.0383262
      14.5000      49187.0      40294.1   -0.1039369
      17.5000      42826.9      40294.1   -0.1058994
      20.5000      52173.4      40294.1   -0.0966820
      23.5000      42087.8      40294.1   -0.1083201
      26.5000      35043.5      40294.1   -0.0720593
      29.5000      41105.3      40294.1   -0.0158811
      32.5000      42403.3      40294.1   -0.0182145
      35.5000      43781.0      40294.1    0.0382468
      38.5000      40324.0      40294.1    0.0284682
      41.5000      54736.3      40294.1    0.2647024
      44.5000      45528.0      40294.1    0.1293886
      47.5000      56280.4      40294.1    0.1698987
      50.5000      47931.0      40294.1   -0.0566861
      53.5000      53141.6      40294.1    0.1221766
      56.5000      37285.2      40294.1    0.0550357
      59.5000      49217.9      40294.1    0.0118051
      62.5000      47026.1      40294.1   -0.0638827
      65.5000      31893.9      40294.1   -0.2667324
      68.5000      35788.6      40294.1   -0.1794335
      71.5000      35053.7      40294.1   -0.1033040
      74.5000      51329.7      40294.1    0.0293689
      77.5000      45114.3      40294.1    0.0220410
      80.5000      50067.6      40294.1    0.0240367
      83.5000      45959.8      40294.1   -0.0229312
      86.5000      46248.3      40294.1    0.0138341
      89.5000      51353.7      40294.1    0.0577434
      92.5000      43294.3      40294.1    0.0446251
      95.5000      45389.1      40294.1    0.0515753
      98.5000      51930.5      40294.1    0.1047401
      101.500      42747.0      40294.1    0.0383262
      104.500      36527.1      40294.1   -0.1039369
      107.500      43901.0      40294.1   -0.1058994
      110.500      37120.1      40294.1   -0.0966820
      113.500      40947.1      40294.1   -0.1083201
      116.500      38863.6      40294.1   -0.0720593
      119.500      45882.1      40294.1   -0.0158811
      122.500      37205.0      40294.1   -0.0182145
      125.500      40105.6      40294.1    0.0382468
      128.500      50640.6      40294.1    0.0284682
      131.500      48558.7      40294.1    0.2647024
      134.500      47177.3      40294.1    0.1293886
      137.500      44301.7      40294.1    0.1698987
