   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug 24, 2025

   initial angular momentum (li) = 0   msorder=  1   raorder= 1
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  11.3 and   3.04 angstrom
   cluster size= 122 atoms and spacings=  1.43  1.82  1.70  1.55 angs
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-3 =   55.8   69.7   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0000

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
    2.5    2.7930e+00    2.8446e+00   -1.8137e-02   -2.6072e-02
    5.5    2.7943e+00    2.8446e+00   -1.7705e-02   -6.9412e-02
    8.5    2.7967e+00    2.8446e+00   -1.6840e-02   -5.8235e-03
   11.5    2.7969e+00    2.8446e+00   -1.6784e-02   -5.1093e-02
   14.5    2.8264e+00    2.8446e+00   -6.3900e-03    5.2910e-03
   17.5    2.8135e+00    2.8446e+00   -1.0924e-02   -2.1060e-02
   20.5    2.8473e+00    2.8446e+00    9.2995e-04   -2.9163e-03
   23.5    2.9139e+00    2.8446e+00    2.4359e-02    3.4551e-02
   26.5    2.9392e+00    2.8446e+00    3.3231e-02    4.0686e-02
   29.5    3.0032e+00    2.8446e+00    5.5762e-02    1.2766e-02
   32.5    3.0250e+00    2.8446e+00    6.3397e-02    4.3460e-02
   35.5    3.0528e+00    2.8446e+00    7.3180e-02    4.5645e-02
   38.5    3.0706e+00    2.8446e+00    7.9428e-02    8.6609e-02
   41.5    3.0542e+00    2.8446e+00    7.3660e-02    3.8164e-03
