    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
    5.0000  -2.6717   1.5329  -1.0783   0.6920   0.0116   0.0005   0.0000   0.0000   0.0000   0.0000
    5.0500  -2.6918   1.5155  -1.0867   0.7669   0.0126   0.0006   0.0000   0.0000   0.0000   0.0000
    5.1000  -2.7118   1.4981  -1.0953   0.8475   0.0136   0.0006   0.0000   0.0000   0.0000   0.0000
    5.1500  -2.7316   1.4807  -1.1040   0.9330   0.0148   0.0007   0.0000   0.0000   0.0000   0.0000
    5.2000  -2.7513   1.4635  -1.1129   1.0221   0.0160   0.0008   0.0000   0.0000   0.0000   0.0000
    5.2500  -2.7709   1.4464  -1.1219   1.1132   0.0173   0.0009   0.0000   0.0000   0.0000   0.0000
    5.3000  -2.7903   1.4293  -1.1310   1.2046   0.0187   0.0009   0.0000   0.0000   0.0000   0.0000
    5.3500  -2.8096   1.4124  -1.1403   1.2944   0.0202   0.0010   0.0000   0.0000   0.0000   0.0000
    5.4000  -2.8288   1.3955  -1.1496   1.3809   0.0218   0.0011   0.0001   0.0000   0.0000   0.0000
    5.4500  -2.8478   1.3787  -1.1590   1.4628   0.0235   0.0012   0.0001   0.0000   0.0000   0.0000
    5.5000  -2.8667   1.3621  -1.1685   1.5391   0.0254   0.0014   0.0001   0.0000   0.0000   0.0000
    5.5500  -2.8855   1.3455  -1.1781   1.6095   0.0273   0.0015   0.0001   0.0000   0.0000   0.0000
    5.6000  -2.9042   1.3290  -1.1878   1.6735   0.0294   0.0016   0.0001   0.0000   0.0000   0.0000
    5.6500  -2.9227   1.3126  -1.1975   1.7315   0.0317   0.0018   0.0001   0.0000   0.0000   0.0000
    5.7000  -2.9410   1.2963  -1.2073   1.7836   0.0340   0.0019   0.0001   0.0000   0.0000   0.0000
    5.7500  -2.9593   1.2801  -1.2171   1.8304   0.0365   0.0021   0.0001   0.0000   0.0000   0.0000
    5.8000  -2.9774   1.2640  -1.2270   1.8721   0.0392   0.0023   0.0001   0.0000   0.0000   0.0000
    5.8500  -2.9954   1.2480  -1.2369   1.9094   0.0421   0.0025   0.0001   0.0000   0.0000   0.0000
