    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 3d           1 radial matrix data

        binding energy =  349.190 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
       5.0000    0.15881          1.2359    0.13987E-01      1.5869
       5.0500    0.16056          1.3487    0.13996E-01      1.5693
       5.1000    0.16015          1.4565    0.14004E-01      1.5517
       5.1500    0.15792          1.5570    0.14010E-01      1.5343
       5.2000    0.15433          1.6486    0.14016E-01      1.5169
       5.2500    0.14985          1.7308    0.14021E-01      1.4997
       5.3000    0.14488          1.8039    0.14026E-01      1.4825
       5.3500    0.13973          1.8680    0.14030E-01      1.4654
       5.4000    0.13462          1.9241    0.14032E-01      1.4485
       5.4500    0.12968          1.9731    0.14035E-01      1.4316
       5.5000    0.12499          2.0158    0.14036E-01      1.4148
       5.5500    0.12061          2.0530    0.14037E-01      1.3981
       5.6000    0.11653          2.0855    0.14038E-01      1.3816
       5.6500    0.11276          2.1139    0.14037E-01      1.3651
       5.7000    0.10928          2.1387    0.14037E-01      1.3488
       5.7500    0.10608          2.1605    0.14035E-01      1.3325
       5.8000    0.10314          2.1795    0.14034E-01      1.3164
       5.8500    0.10044          2.1962    0.14032E-01      1.3003
       5.9000    0.97950E-01      2.2108    0.14029E-01      1.2844
       5.9500    0.95664E-01      2.2236    0.14026E-01      1.2686
       6.0000    0.93559E-01      2.2348    0.14022E-01      1.2529
       6.0500    0.91620E-01      2.2447    0.14019E-01      1.2373
       6.1000    0.89831E-01      2.2533    0.14014E-01      1.2218
       6.1500    0.88181E-01      2.2607    0.14010E-01      1.2065
       6.2000    0.86656E-01      2.2672    0.14005E-01      1.1912
       6.2500    0.85247E-01      2.2729    0.13999E-01      1.1761
       6.3000    0.83943E-01      2.2777    0.13994E-01      1.1611
       6.3500    0.82736E-01      2.2819    0.13988E-01      1.1462
       6.4000    0.81618E-01      2.2854    0.13981E-01      1.1314
       6.4500    0.80583E-01      2.2884    0.13975E-01      1.1168
       6.5000    0.79623E-01      2.2908    0.13968E-01      1.1023
       6.5500    0.78734E-01      2.2929    0.13960E-01      1.0879
       6.6000    0.77910E-01      2.2945    0.13953E-01      1.0736
       6.6500    0.77146E-01      2.2958    0.13945E-01      1.0595
       6.7000    0.76439E-01      2.2967    0.13937E-01      1.0455
       6.7500    0.75785E-01      2.2974    0.13928E-01      1.0316
       6.8000    0.75179E-01      2.2978    0.13919E-01      1.0179
       6.8500    0.74619E-01      2.2980    0.13910E-01      1.0042
       6.9000    0.74103E-01      2.2980    0.13900E-01      0.9907
       6.9500    0.73627E-01      2.2979    0.13890E-01      0.9774
       7.0000    0.73171E-01      2.2976    0.13879E-01      0.9642
       7.0500    0.72787E-01      2.2971    0.13869E-01      0.9511
       7.1000    0.72418E-01      2.2966    0.13857E-01      0.9381
       7.1500    0.72082E-01      2.2960    0.13846E-01      0.9253
       7.2000    0.71775E-01      2.2953    0.13834E-01      0.9126
       7.2500    0.71497E-01      2.2946    0.13821E-01      0.9001
       7.3000    0.71246E-01      2.2939    0.13808E-01      0.8877
       7.3500    0.71021E-01      2.2931    0.13795E-01      0.8754
       7.4000    0.70820E-01      2.2923    0.13781E-01      0.8633
       7.4500    0.70643E-01      2.2916    0.13766E-01      0.8513
       7.5000    0.70487E-01      2.2909    0.13751E-01      0.8395
       7.5500    0.70351E-01      2.2902    0.13735E-01      0.8278
       7.6000    0.70236E-01      2.2896    0.13719E-01      0.8162
       7.6500    0.70139E-01      2.2890    0.13702E-01      0.8048
       7.7000    0.70060E-01      2.2885    0.13684E-01      0.7935
       7.7500    0.69998E-01      2.2881    0.13665E-01      0.7824
       7.8000    0.69951E-01      2.2878    0.13646E-01      0.7713
       7.8500    0.69919E-01      2.2876    0.13626E-01      0.7605
       7.9000    0.69902E-01      2.2876    0.13606E-01      0.7497
       7.9500    0.69898E-01      2.2876    0.13584E-01      0.7391
       8.0000    0.69906E-01      2.2878    0.13562E-01      0.7287
       8.0500    0.69925E-01      2.2882    0.13539E-01      0.7184
       8.1000    0.69955E-01      2.2887    0.13514E-01      0.7082
       8.1500    0.69995E-01      2.2893    0.13489E-01      0.6981
       8.2000    0.70044E-01      2.2902    0.13463E-01      0.6882
       8.2500    0.70101E-01      2.2912    0.13436E-01      0.6784
       8.3000    0.70166E-01      2.2924    0.13408E-01      0.6688
       8.3500    0.70236E-01      2.2938    0.13379E-01      0.6592
       8.4000    0.70312E-01      2.2954    0.13348E-01      0.6498
       8.4500    0.70393E-01      2.2972    0.13317E-01      0.6406
       8.5000    0.70477E-01      2.2992    0.13284E-01      0.6314
       8.5500    0.70563E-01      2.3014    0.13251E-01      0.6224
       8.6000    0.70652E-01      2.3038    0.13216E-01      0.6135
       8.6500    0.70741E-01      2.3065    0.13179E-01      0.6047
       8.7000    0.70829E-01      2.3094    0.13142E-01      0.5960
       8.7500    0.70916E-01      2.3125    0.13103E-01      0.5874
       8.8000    0.71001E-01      2.3159    0.13063E-01      0.5789
       8.8500    0.71082E-01      2.3195    0.13022E-01      0.5706
       8.9000    0.71159E-01      2.3233    0.12979E-01      0.5623
       8.9500    0.71230E-01      2.3274    0.12935E-01      0.5542
       9.0000    0.71295E-01      2.3316    0.12889E-01      0.5461
       9.0500    0.71351E-01      2.3362    0.12842E-01      0.5381
       9.1000    0.71399E-01      2.3409    0.12794E-01      0.5302
       9.1500    0.71436E-01      2.3459    0.12745E-01      0.5224
       9.2000    0.71463E-01      2.3511    0.12694E-01      0.5147
       9.2500    0.71477E-01      2.3564    0.12641E-01      0.5071
       9.3000    0.71478E-01      2.3621    0.12588E-01      0.4995
       9.3500    0.71465E-01      2.3679    0.12533E-01      0.4920
       9.4000    0.71437E-01      2.3738    0.12476E-01      0.4846
       9.4500    0.71393E-01      2.3800    0.12418E-01      0.4772
       9.5000    0.71332E-01      2.3864    0.12359E-01      0.4699
       9.5500    0.71253E-01      2.3929    0.12299E-01      0.4626
       9.6000    0.71156E-01      2.3995    0.12237E-01      0.4554
       9.6500    0.71040E-01      2.4063    0.12174E-01      0.4483
       9.7000    0.70904E-01      2.4132    0.12109E-01      0.4411
       9.7500    0.70748E-01      2.4202    0.12044E-01      0.4341
       9.8000    0.70571E-01      2.4273    0.11977E-01      0.4270
       9.8500    0.70374E-01      2.4345    0.11909E-01      0.4200
       9.9000    0.70155E-01      2.4418    0.11840E-01      0.4130
       9.9500    0.69915E-01      2.4491    0.11770E-01      0.4060
      10.0000    0.69654E-01      2.4564    0.11699E-01      0.3990
      10.0500    0.69372E-01      2.4637    0.11626E-01      0.3920
      10.1000    0.69070E-01      2.4711    0.11553E-01      0.3851
      10.1500    0.68746E-01      2.4784    0.11479E-01      0.3781
      10.2000    0.68403E-01      2.4857    0.11404E-01      0.3712
      10.2500    0.68039E-01      2.4929    0.11328E-01      0.3642
      10.3000    0.67657E-01      2.5001    0.11251E-01      0.3573
      10.3500    0.67256E-01      2.5072    0.11174E-01      0.3503
      10.4000    0.66838E-01      2.5142    0.11096E-01      0.3433
      10.4500    0.66402E-01      2.5211    0.11017E-01      0.3363
      10.5000    0.65951E-01      2.5278    0.10938E-01      0.3293
      10.5500    0.65484E-01      2.5345    0.10858E-01      0.3222
      10.6000    0.65004E-01      2.5409    0.10778E-01      0.3152
      10.6500    0.64510E-01      2.5472    0.10697E-01      0.3080
      10.7000    0.64004E-01      2.5534    0.10616E-01      0.3009
      10.7500    0.63487E-01      2.5593    0.10534E-01      0.2937
      10.8000    0.62961E-01      2.5651    0.10453E-01      0.2865
      10.8500    0.62425E-01      2.5706    0.10371E-01      0.2793
      10.9000    0.61882E-01      2.5760    0.10289E-01      0.2720
      10.9500    0.61331E-01      2.5811    0.10207E-01      0.2646
      11.0000    0.60775E-01      2.5860    0.10125E-01      0.2572
      11.0500    0.60215E-01      2.5907    0.10042E-01      0.2498
      11.1000    0.59651E-01      2.5952    0.99602E-02      0.2423
      11.1500    0.59084E-01      2.5994    0.98782E-02      0.2348
      11.2000    0.58515E-01      2.6034    0.97963E-02      0.2272
      11.2500    0.57946E-01      2.6072    0.97146E-02      0.2196
      11.3000    0.57376E-01      2.6107    0.96331E-02      0.2119
      11.3500    0.56807E-01      2.6140    0.95520E-02      0.2042
      11.4000    0.56240E-01      2.6171    0.94711E-02      0.1964
      11.4500    0.55675E-01      2.6199    0.93906E-02      0.1885
      11.5000    0.55113E-01      2.6225    0.93106E-02      0.1806
      11.5500    0.54555E-01      2.6249    0.92309E-02      0.1727
      11.6000    0.54001E-01      2.6270    0.91517E-02      0.1646
      11.6500    0.53451E-01      2.6289    0.90731E-02      0.1566
      11.7000    0.52907E-01      2.6306    0.89950E-02      0.1485
      11.7500    0.52369E-01      2.6321    0.89174E-02      0.1403
      11.8000    0.51836E-01      2.6334    0.88405E-02      0.1320
      11.8500    0.51310E-01      2.6345    0.87643E-02      0.1238
      11.9000    0.50791E-01      2.6354    0.86887E-02      0.1154
      11.9500    0.50280E-01      2.6361    0.86137E-02      0.1070
      12.0000    0.49775E-01      2.6366    0.85395E-02      0.0986
      12.0500    0.49278E-01      2.6369    0.84660E-02      0.0901
      12.1000    0.48789E-01      2.6370    0.83933E-02      0.0816
      12.1500    0.48308E-01      2.6370    0.83213E-02      0.0730
      12.2000    0.47835E-01      2.6368    0.82502E-02      0.0643
      12.2500    0.47370E-01      2.6365    0.81798E-02      0.0557
      12.3000    0.46914E-01      2.6360    0.81103E-02      0.0469
      12.3500    0.46466E-01      2.6353    0.80416E-02      0.0382
      12.4000    0.46027E-01      2.6345    0.79737E-02      0.0294
      12.4500    0.45596E-01      2.6336    0.79067E-02      0.0205
      12.5000    0.45173E-01      2.6326    0.78406E-02      0.0116
      12.5500    0.44759E-01      2.6315    0.77753E-02      0.0027
      12.6000    0.44354E-01      2.6302    0.77109E-02     -0.0063
      12.6500    0.43956E-01      2.6288    0.76474E-02     -0.0153
      12.7000    0.43568E-01      2.6274    0.75848E-02     -0.0243
      12.7500    0.43187E-01      2.6258    0.75231E-02     -0.0333
      12.8000    0.42815E-01      2.6242    0.74623E-02     -0.0424
      12.8500    0.42451E-01      2.6225    0.74025E-02     -0.0515
      12.9000    0.42095E-01      2.6207    0.73435E-02     -0.0607
      12.9500    0.41747E-01      2.6189    0.72853E-02     -0.0698
      13.0000    0.41406E-01      2.6170    0.72281E-02     -0.0790
      13.0500    0.41073E-01      2.6151    0.71717E-02     -0.0882
      13.1000    0.40748E-01      2.6131    0.71163E-02     -0.0974
      13.1500    0.40430E-01      2.6111    0.70617E-02     -0.1066
      13.2000    0.40119E-01      2.6090    0.70080E-02     -0.1158
      13.2500    0.39820E-01      2.6069    0.69551E-02     -0.1251
      13.3000    0.39518E-01      2.6048    0.69032E-02     -0.1343
      13.3500    0.39228E-01      2.6027    0.68521E-02     -0.1436
      13.4000    0.38945E-01      2.6006    0.68018E-02     -0.1528
      13.4500    0.38668E-01      2.5985    0.67524E-02     -0.1621
      13.5000    0.38398E-01      2.5964    0.67038E-02     -0.1713
      13.5500    0.38133E-01      2.5942    0.66560E-02     -0.1806
      13.6000    0.37875E-01      2.5921    0.66091E-02     -0.1898
      13.6500    0.37622E-01      2.5901    0.65629E-02     -0.1991
