    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 2p           1 radial matrix data

        binding energy = 1062.992 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
       5.0000    0.27167E-01      2.8104    0.73510E-02      1.3770
       5.0500    0.27434E-01      2.8085    0.73899E-02      1.3652
       5.1000    0.27701E-01      2.8067    0.74276E-02      1.3534
       5.1500    0.27970E-01      2.8051    0.74640E-02      1.3417
       5.2000    0.28239E-01      2.8036    0.74992E-02      1.3301
       5.2500    0.28509E-01      2.8024    0.75332E-02      1.3186
       5.3000    0.28780E-01      2.8013    0.75659E-02      1.3072
       5.3500    0.29050E-01      2.8004    0.75974E-02      1.2959
       5.4000    0.29320E-01      2.7997    0.76276E-02      1.2846
       5.4500    0.29590E-01      2.7992    0.76566E-02      1.2734
       5.5000    0.29859E-01      2.7989    0.76843E-02      1.2623
       5.5500    0.30127E-01      2.7988    0.77107E-02      1.2513
       5.6000    0.30394E-01      2.7988    0.77358E-02      1.2403
       5.6500    0.30660E-01      2.7991    0.77596E-02      1.2294
       5.7000    0.30923E-01      2.7996    0.77822E-02      1.2185
       5.7500    0.31184E-01      2.8002    0.78035E-02      1.2077
       5.8000    0.31442E-01      2.8011    0.78235E-02      1.1970
       5.8500    0.31697E-01      2.8021    0.78422E-02      1.1863
       5.9000    0.31949E-01      2.8034    0.78597E-02      1.1756
       5.9500    0.32196E-01      2.8048    0.78759E-02      1.1650
       6.0000    0.32440E-01      2.8064    0.78909E-02      1.1545
       6.0500    0.32679E-01      2.8082    0.79046E-02      1.1439
       6.1000    0.32913E-01      2.8102    0.79171E-02      1.1334
       6.1500    0.33141E-01      2.8123    0.79284E-02      1.1230
       6.2000    0.33363E-01      2.8146    0.79385E-02      1.1126
       6.2500    0.33580E-01      2.8171    0.79474E-02      1.1021
       6.3000    0.33789E-01      2.8197    0.79551E-02      1.0918
       6.3500    0.33991E-01      2.8225    0.79617E-02      1.0814
       6.4000    0.34186E-01      2.8254    0.79671E-02      1.0711
       6.4500    0.34373E-01      2.8284    0.79714E-02      1.0607
       6.5000    0.34551E-01      2.8316    0.79746E-02      1.0504
       6.5500    0.34721E-01      2.8349    0.79767E-02      1.0401
       6.6000    0.34882E-01      2.8383    0.79778E-02      1.0298
       6.6500    0.35034E-01      2.8417    0.79778E-02      1.0195
       6.7000    0.35177E-01      2.8453    0.79768E-02      1.0092
       6.7500    0.35309E-01      2.8489    0.79748E-02      0.9989
       6.8000    0.35432E-01      2.8526    0.79719E-02      0.9886
       6.8500    0.35545E-01      2.8563    0.79680E-02      0.9783
       6.9000    0.35647E-01      2.8601    0.79632E-02      0.9680
       6.9500    0.35738E-01      2.8639    0.79576E-02      0.9577
       7.0000    0.35820E-01      2.8677    0.79510E-02      0.9474
       7.0500    0.35890E-01      2.8716    0.79437E-02      0.9371
       7.1000    0.35950E-01      2.8754    0.79355E-02      0.9267
       7.1500    0.36000E-01      2.8792    0.79266E-02      0.9164
       7.2000    0.36039E-01      2.8829    0.79169E-02      0.9060
       7.2500    0.36067E-01      2.8866    0.79065E-02      0.8956
       7.3000    0.36085E-01      2.8903    0.78954E-02      0.8852
       7.3500    0.36093E-01      2.8939    0.78836E-02      0.8748
       7.4000    0.36091E-01      2.8974    0.78712E-02      0.8643
       7.4500    0.36079E-01      2.9009    0.78582E-02      0.8538
       7.5000    0.36058E-01      2.9042    0.78447E-02      0.8433
       7.5500    0.36027E-01      2.9075    0.78305E-02      0.8328
       7.6000    0.35988E-01      2.9106    0.78159E-02      0.8223
       7.6500    0.35939E-01      2.9136    0.78007E-02      0.8117
       7.7000    0.35882E-01      2.9165    0.77851E-02      0.8011
       7.7500    0.35818E-01      2.9192    0.77690E-02      0.7905
       7.8000    0.35745E-01      2.9218    0.77525E-02      0.7799
       7.8500    0.35665E-01      2.9243    0.77357E-02      0.7692
       7.9000    0.35579E-01      2.9265    0.77184E-02      0.7585
       7.9500    0.35486E-01      2.9287    0.77009E-02      0.7478
       8.0000    0.35386E-01      2.9306    0.76830E-02      0.7371
       8.0500    0.35281E-01      2.9324    0.76648E-02      0.7263
       8.1000    0.35171E-01      2.9341    0.76463E-02      0.7155
       8.1500    0.35055E-01      2.9355    0.76276E-02      0.7047
       8.2000    0.34935E-01      2.9368    0.76087E-02      0.6939
       8.2500    0.34811E-01      2.9379    0.75896E-02      0.6830
       8.3000    0.34683E-01      2.9388    0.75703E-02      0.6721
       8.3500    0.34552E-01      2.9396    0.75508E-02      0.6612
       8.4000    0.34417E-01      2.9402    0.75313E-02      0.6503
       8.4500    0.34280E-01      2.9405    0.75115E-02      0.6394
       8.5000    0.34141E-01      2.9407    0.74917E-02      0.6284
       8.5500    0.33999E-01      2.9408    0.74718E-02      0.6174
       8.6000    0.33856E-01      2.9406    0.74519E-02      0.6064
       8.6500    0.33711E-01      2.9403    0.74319E-02      0.5953
       8.7000    0.33565E-01      2.9398    0.74119E-02      0.5843
       8.7500    0.33418E-01      2.9391    0.73919E-02      0.5732
       8.8000    0.33271E-01      2.9383    0.73718E-02      0.5621
       8.8500    0.33123E-01      2.9373    0.73518E-02      0.5510
       8.9000    0.32976E-01      2.9362    0.73318E-02      0.5399
       8.9500    0.32828E-01      2.9348    0.73119E-02      0.5288
       9.0000    0.32681E-01      2.9334    0.72920E-02      0.5177
       9.0500    0.32534E-01      2.9318    0.72722E-02      0.5065
       9.1000    0.32388E-01      2.9300    0.72525E-02      0.4954
       9.1500    0.32243E-01      2.9281    0.72329E-02      0.4842
       9.2000    0.32099E-01      2.9260    0.72134E-02      0.4730
       9.2500    0.31956E-01      2.9239    0.71940E-02      0.4618
       9.3000    0.31815E-01      2.9215    0.71747E-02      0.4507
       9.3500    0.31675E-01      2.9191    0.71556E-02      0.4395
       9.4000    0.31537E-01      2.9166    0.71366E-02      0.4283
       9.4500    0.31401E-01      2.9139    0.71177E-02      0.4171
       9.5000    0.31266E-01      2.9111    0.70990E-02      0.4059
       9.5500    0.31133E-01      2.9082    0.70805E-02      0.3947
       9.6000    0.31003E-01      2.9052    0.70622E-02      0.3836
       9.6500    0.30874E-01      2.9022    0.70440E-02      0.3724
       9.7000    0.30748E-01      2.8990    0.70261E-02      0.3612
       9.7500    0.30625E-01      2.8957    0.70085E-02      0.3500
       9.8000    0.30503E-01      2.8924    0.69909E-02      0.3389
       9.8500    0.30383E-01      2.8890    0.69735E-02      0.3278
       9.9000    0.30265E-01      2.8855    0.69563E-02      0.3166
       9.9500    0.30150E-01      2.8819    0.69393E-02      0.3055
      10.0000    0.30037E-01      2.8783    0.69226E-02      0.2944
      10.0500    0.29927E-01      2.8746    0.69060E-02      0.2833
      10.1000    0.29819E-01      2.8709    0.68897E-02      0.2723
      10.1500    0.29714E-01      2.8671    0.68735E-02      0.2612
      10.2000    0.29611E-01      2.8633    0.68576E-02      0.2502
      10.2500    0.29510E-01      2.8595    0.68420E-02      0.2392
      10.3000    0.29412E-01      2.8556    0.68265E-02      0.2282
      10.3500    0.29316E-01      2.8516    0.68113E-02      0.2173
      10.4000    0.29222E-01      2.8477    0.67963E-02      0.2064
      10.4500    0.29131E-01      2.8437    0.67815E-02      0.1955
      10.5000    0.29042E-01      2.8398    0.67669E-02      0.1846
      10.5500    0.28956E-01      2.8358    0.67526E-02      0.1738
      10.6000    0.28871E-01      2.8318    0.67385E-02      0.1630
      10.6500    0.28789E-01      2.8278    0.67246E-02      0.1522
      10.7000    0.28709E-01      2.8237    0.67109E-02      0.1415
      10.7500    0.28632E-01      2.8197    0.66974E-02      0.1308
      10.8000    0.28556E-01      2.8158    0.66842E-02      0.1202
      10.8500    0.28483E-01      2.8118    0.66711E-02      0.1096
      10.9000    0.28411E-01      2.8078    0.66583E-02      0.0990
      10.9500    0.28341E-01      2.8039    0.66457E-02      0.0885
      11.0000    0.28273E-01      2.7999    0.66333E-02      0.0780
      11.0500    0.28208E-01      2.7960    0.66210E-02      0.0676
      11.1000    0.28143E-01      2.7922    0.66090E-02      0.0572
      11.1500    0.28081E-01      2.7883    0.65971E-02      0.0468
      11.2000    0.28020E-01      2.7845    0.65855E-02      0.0365
      11.2500    0.27961E-01      2.7808    0.65740E-02      0.0263
      11.3000    0.27903E-01      2.7771    0.65627E-02      0.0161
      11.3500    0.27847E-01      2.7734    0.65515E-02      0.0060
      11.4000    0.27792E-01      2.7698    0.65405E-02     -0.0041
      11.4500    0.27738E-01      2.7662    0.65297E-02     -0.0141
      11.5000    0.27686E-01      2.7627    0.65191E-02     -0.0241
      11.5500    0.27634E-01      2.7592    0.65085E-02     -0.0340
      11.6000    0.27584E-01      2.7558    0.64981E-02     -0.0439
      11.6500    0.27535E-01      2.7525    0.64879E-02     -0.0537
      11.7000    0.27486E-01      2.7492    0.64777E-02     -0.0634
      11.7500    0.27438E-01      2.7460    0.64677E-02     -0.0731
      11.8000    0.27391E-01      2.7428    0.64578E-02     -0.0827
      11.8500    0.27345E-01      2.7397    0.64480E-02     -0.0922
      11.9000    0.27299E-01      2.7367    0.64383E-02     -0.1017
      11.9500    0.27254E-01      2.7337    0.64287E-02     -0.1111
      12.0000    0.27209E-01      2.7309    0.64191E-02     -0.1205
      12.0500    0.27164E-01      2.7280    0.64096E-02     -0.1298
      12.1000    0.27119E-01      2.7253    0.64002E-02     -0.1390
      12.1500    0.27075E-01      2.7226    0.63908E-02     -0.1481
      12.2000    0.27030E-01      2.7200    0.63815E-02     -0.1572
      12.2500    0.26985E-01      2.7175    0.63722E-02     -0.1662
      12.3000    0.26940E-01      2.7151    0.63629E-02     -0.1752
      12.3500    0.26895E-01      2.7127    0.63537E-02     -0.1841
      12.4000    0.26849E-01      2.7104    0.63444E-02     -0.1929
      12.4500    0.26803E-01      2.7082    0.63352E-02     -0.2016
      12.5000    0.26757E-01      2.7060    0.63259E-02     -0.2103
      12.5500    0.26709E-01      2.7040    0.63167E-02     -0.2189
      12.6000    0.26661E-01      2.7020    0.63074E-02     -0.2274
