   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Nov 12, 2025

   initial angular momentum (li) = 2   msorder=  2   raorder= 2
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  25.0 and   4.09 angstrom
   cluster size= 244 atoms and spacings=  0.00  2.66  3.06  2.12 angs
   inner potential=  0.1 V  debye and sample temperature= 104, 300 K
   number of valence electrons=  11     bandgap energy=   0.00 eV
   density of bulk=  10.50 g/cm3     molecular weight= 107.87 amu
   effective weight=  107.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0050

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    18   720    1   18   40  960  ncurve npoint nk ntheta nphi nangle
   1    40  16.66   18.0    1.0    0.0   ----------------------------
  111.0    1.8636e-02    1.3203e-02    4.1148e-01   -2.2243e-02
  114.0    1.7955e-02    1.3203e-02    3.5993e-01   -4.0333e-02
  117.0    1.7289e-02    1.3203e-02    3.0945e-01   -4.3791e-02
  120.0    1.7256e-02    1.3203e-02    3.0697e-01   -2.6295e-02
  123.0    1.7307e-02    1.3203e-02    3.1085e-01    2.4272e-03
  126.0    1.8044e-02    1.3203e-02    3.6668e-01    3.8032e-02
  129.0    1.8747e-02    1.3203e-02    4.1992e-01    5.9663e-02
  132.0    1.9399e-02    1.3203e-02    4.6925e-01    6.4723e-02
  135.0    1.9154e-02    1.3203e-02    4.5071e-01    5.6807e-02
  138.0    1.8230e-02    1.3203e-02    3.8072e-01    4.5085e-02
  141.0    1.6688e-02    1.3203e-02    2.6396e-01    3.4281e-02
  144.0    1.4465e-02    1.3203e-02    9.5611e-02    2.6374e-02
  147.0    1.2093e-02    1.3203e-02   -8.4063e-02    1.0205e-02
  150.0    1.0281e-02    1.3203e-02   -2.2131e-01    1.5680e-03
  153.0    9.4483e-03    1.3203e-02   -2.8439e-01   -1.2532e-02
  156.0    9.6907e-03    1.3203e-02   -2.6603e-01   -2.0286e-02
  159.0    1.0086e-02    1.3203e-02   -2.3610e-01   -3.6486e-02
  162.0    1.0196e-02    1.3203e-02   -2.2775e-01   -6.0136e-02
  165.0    9.9933e-03    1.3203e-02   -2.4311e-01   -7.9725e-02
  168.0    9.5973e-03    1.3203e-02   -2.7310e-01   -8.9089e-02
  171.0    9.2516e-03    1.3203e-02   -2.9928e-01   -7.9628e-02
  174.0    9.1531e-03    1.3203e-02   -3.0675e-01   -4.3899e-02
  177.0    9.1694e-03    1.3203e-02   -3.0551e-01   -4.9874e-03
  180.0    9.2135e-03    1.3203e-02   -3.0217e-01    2.7770e-02
