   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Feb 27, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 187 atoms and spacings=  1.75  0.00  0.36  1.28 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
    2.5    3.8959e+00    3.1249e+00    2.4675e-01    7.9703e-02
    5.5    3.9289e+00    3.1249e+00    2.5731e-01    8.9743e-02
    8.5    3.9045e+00    3.1249e+00    2.4949e-01    8.1535e-02
   11.5    3.6396e+00    3.1249e+00    1.6472e-01    4.3014e-02
   14.5    3.1952e+00    3.1249e+00    2.2518e-02   -1.1028e-02
   17.5    2.7709e+00    3.1249e+00   -1.1327e-01   -5.6685e-02
   20.5    2.5678e+00    3.1249e+00   -1.7828e-01   -7.2070e-02
   23.5    2.4606e+00    3.1249e+00   -2.1258e-01   -7.8056e-02
   26.5    2.5246e+00    3.1249e+00   -1.9210e-01   -7.6352e-02
   29.5    2.6065e+00    3.1249e+00   -1.6589e-01   -8.7337e-02
   32.5    2.7015e+00    3.1249e+00   -1.3549e-01   -9.1148e-02
   35.5    2.8917e+00    3.1249e+00   -7.4623e-02   -8.1315e-02
   38.5    3.0954e+00    3.1249e+00   -9.4321e-03   -5.6700e-02
   41.5    3.3076e+00    3.1249e+00    5.8476e-02   -2.3083e-02
   44.5    3.2889e+00    3.1249e+00    5.2488e-02    1.6590e-03
   47.5    3.2438e+00    3.1249e+00    3.8064e-02    1.8323e-02
   50.5    3.1734e+00    3.1249e+00    1.5531e-02    1.2507e-02
   53.5    3.1052e+00    3.1249e+00   -6.2808e-03   -4.5615e-03
   56.5    2.9966e+00    3.1249e+00   -4.1063e-02   -2.9961e-02
   59.5    2.8294e+00    3.1249e+00   -9.4544e-02   -4.4170e-02
   62.5    2.7723e+00    3.1249e+00   -1.1282e-01   -4.5849e-02
   65.5    2.6852e+00    3.1249e+00   -1.4069e-01   -3.4435e-02
   68.5    2.5533e+00    3.1249e+00   -1.8292e-01   -1.9596e-02
   71.5    2.5468e+00    3.1249e+00   -1.8499e-01   -6.7365e-03
   74.5    2.6367e+00    3.1249e+00   -1.5622e-01    7.2020e-03
   77.5    2.9251e+00    3.1249e+00   -6.3937e-02    2.6837e-02
   80.5    3.2476e+00    3.1249e+00    3.9281e-02    6.2876e-02
   83.5    3.6046e+00    3.1249e+00    1.5351e-01    1.1053e-01
   86.5    3.9211e+00    3.1249e+00    2.5480e-01    1.4540e-01
   89.5    4.1075e+00    3.1249e+00    3.1445e-01    1.5625e-01
   92.5    4.1709e+00    3.1249e+00    3.3475e-01    1.4761e-01
   95.5    4.0753e+00    3.1249e+00    3.0414e-01    1.3318e-01
   98.5    3.8551e+00    3.1249e+00    2.3367e-01    7.6059e-02
  101.5    3.5444e+00    3.1249e+00    1.3426e-01    3.5220e-02
  104.5    3.0915e+00    3.1249e+00   -1.0681e-02   -1.4037e-02
  107.5    2.7123e+00    3.1249e+00   -1.3202e-01   -1.7085e-02
  110.5    2.4840e+00    3.1249e+00   -2.0509e-01   -4.0263e-02
  113.5    2.4225e+00    3.1249e+00   -2.2477e-01   -6.5798e-02
  116.5    2.4387e+00    3.1249e+00   -2.1959e-01   -1.0371e-01
  119.5    2.5830e+00    3.1249e+00   -1.7341e-01   -1.1083e-01
  122.5    2.8484e+00    3.1249e+00   -8.8471e-02   -9.4988e-02
  125.5    3.0511e+00    3.1249e+00   -2.3599e-02   -5.4154e-02
  128.5    3.1920e+00    3.1249e+00    2.1488e-02    1.5155e-02
  131.5    3.2496e+00    3.1249e+00    3.9922e-02    2.1197e-02
  134.5    3.1746e+00    3.1249e+00    1.5908e-02    1.8032e-02
