   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Feb 17, 2026

   initial angular momentum (li) = 3   msorder=  2   raorder= 1
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  25.0 and   4.09 angstrom
   cluster size= 244 atoms and spacings=  0.00  2.66  3.06  2.12 angs
   inner potential=  0.1 V  debye and sample temperature= 504, 300 K
   number of valence electrons=  11     bandgap energy=   0.00 eV
   density of bulk=  10.50 g/cm3     molecular weight= 107.87 amu
   effective weight for kind 1-2 =  107.9    0.0 amu
   half aperture angle=    1.5 deg            pathcut=     0.0050

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    18   720    1   18   40  960  ncurve npoint nk ntheta nphi nangle
   1    40  16.66   18.0    1.0    0.0   ----------------------------
  111.0    2.2041e-02    1.6017e-02    3.7611e-01   -2.2243e-02
  114.0    2.2361e-02    1.6017e-02    3.9610e-01   -4.0333e-02
  117.0    2.2841e-02    1.6017e-02    4.2608e-01   -4.3791e-02
  120.0    2.3230e-02    1.6017e-02    4.5033e-01   -2.6295e-02
  123.0    2.2930e-02    1.6017e-02    4.3162e-01    2.4272e-03
  126.0    2.2439e-02    1.6017e-02    4.0098e-01    3.8032e-02
  129.0    2.2212e-02    1.6017e-02    3.8677e-01    5.9663e-02
  132.0    2.2460e-02    1.6017e-02    4.0229e-01    6.4723e-02
  135.0    2.1844e-02    1.6017e-02    3.6379e-01    5.6807e-02
  138.0    2.0623e-02    1.6017e-02    2.8756e-01    4.5085e-02
  141.0    1.8801e-02    1.6017e-02    1.7383e-01    3.4281e-02
  144.0    1.6726e-02    1.6017e-02    4.4263e-02    2.6374e-02
  147.0    1.4265e-02    1.6017e-02   -1.0941e-01    1.0205e-02
  150.0    1.1933e-02    1.6017e-02   -2.5499e-01    1.5680e-03
  153.0    1.0579e-02    1.6017e-02   -3.3953e-01   -1.2532e-02
  156.0    1.0904e-02    1.6017e-02   -3.1921e-01   -2.0286e-02
  159.0    1.1609e-02    1.6017e-02   -2.7521e-01   -3.6486e-02
  162.0    1.2013e-02    1.6017e-02   -2.4996e-01   -6.0136e-02
  165.0    1.2161e-02    1.6017e-02   -2.4076e-01   -7.9725e-02
  168.0    1.2382e-02    1.6017e-02   -2.2695e-01   -8.9089e-02
  171.0    1.2541e-02    1.6017e-02   -2.1700e-01   -7.9628e-02
  174.0    1.2904e-02    1.6017e-02   -1.9434e-01   -4.3899e-02
  177.0    1.3118e-02    1.6017e-02   -1.8097e-01   -4.9874e-03
  180.0    1.3066e-02    1.6017e-02   -1.8421e-01    2.7770e-02
  183.0    1.3123e-02    1.6017e-02   -1.8065e-01    2.2433e-02
  186.0    1.2907e-02    1.6017e-02   -1.9418e-01   -5.2078e-04
  189.0    1.2538e-02    1.6017e-02   -2.1717e-01   -2.6997e-02
  192.0    1.2372e-02    1.6017e-02   -2.2755e-01   -2.8617e-02
  195.0    1.2147e-02    1.6017e-02   -2.4162e-01   -9.6950e-03
  198.0    1.1999e-02    1.6017e-02   -2.5087e-01    1.5266e-02
  201.0    1.1595e-02    1.6017e-02   -2.7605e-01    4.0852e-02
  204.0    1.0885e-02    1.6017e-02   -3.2038e-01    5.2377e-02
  207.0    1.0556e-02    1.6017e-02   -3.4094e-01    5.7921e-02
  210.0    1.1909e-02    1.6017e-02   -2.5646e-01    4.9119e-02
  213.0    1.4243e-02    1.6017e-02   -1.1077e-01    4.1560e-02
  216.0    1.6712e-02    1.6017e-02    4.3387e-02    3.2669e-02
  219.0    1.8790e-02    1.6017e-02    1.7311e-01    2.3925e-02
  222.0    2.0613e-02    1.6017e-02    2.8693e-01    1.2738e-03
  225.0    2.1844e-02    1.6017e-02    3.6381e-01   -3.1213e-02
  228.0    2.2459e-02    1.6017e-02    4.0221e-01   -7.0997e-02
   2    40  16.66   21.0    1.0    0.0   ----------------------------
  111.0    1.6853e-02    1.5529e-02    8.5264e-02    3.0616e-02
  114.0    1.6058e-02    1.5529e-02    3.4034e-02   -6.0676e-03
  117.0    1.5634e-02    1.5529e-02    6.7428e-03   -2.5210e-02
  120.0    1.5305e-02    1.5529e-02   -1.4411e-02   -2.9509e-02
  123.0    1.5417e-02    1.5529e-02   -7.1939e-03   -1.4713e-02
  126.0    1.5935e-02    1.5529e-02    2.6128e-02   -1.0473e-03
  129.0    1.6959e-02    1.5529e-02    9.2116e-02    1.0886e-02
  132.0    1.8364e-02    1.5529e-02    1.8258e-01    7.7695e-04
  135.0    1.9546e-02    1.5529e-02    2.5866e-01   -1.9237e-02
  138.0    1.9124e-02    1.5529e-02    2.3148e-01   -3.5733e-02
  141.0    1.7269e-02    1.5529e-02    1.1206e-01   -3.2497e-02
  144.0    1.5338e-02    1.5529e-02   -1.2278e-02    8.8860e-04
  147.0    1.3614e-02    1.5529e-02   -1.2330e-01    4.1882e-02
  150.0    1.2062e-02    1.5529e-02   -2.2326e-01    7.6547e-02
  153.0    1.1258e-02    1.5529e-02   -2.7506e-01    8.8435e-02
  156.0    1.2222e-02    1.5529e-02   -2.1298e-01    8.4453e-02
  159.0    1.4518e-02    1.5529e-02   -6.5133e-02    7.2958e-02
  162.0    1.6122e-02    1.5529e-02    3.8188e-02    5.7552e-02
  165.0    1.6085e-02    1.5529e-02    3.5785e-02    3.5028e-02
  168.0    1.5587e-02    1.5529e-02    3.7063e-03   -2.6980e-03
  171.0    1.5297e-02    1.5529e-02   -1.4950e-02   -5.5393e-02
  174.0    1.5168e-02    1.5529e-02   -2.3234e-02   -1.1432e-01
  177.0    1.5174e-02    1.5529e-02   -2.2843e-02   -1.5133e-01
  180.0    1.5609e-02    1.5529e-02    5.1299e-03   -1.5659e-01
  183.0    1.5176e-02    1.5529e-02   -2.2745e-02   -1.2447e-01
  186.0    1.5165e-02    1.5529e-02   -2.3458e-02   -7.7220e-02
  189.0    1.5294e-02    1.5529e-02   -1.5119e-02   -2.2056e-02
  192.0    1.5585e-02    1.5529e-02    3.6058e-03    2.0598e-02
  195.0    1.6075e-02    1.5529e-02    3.5182e-02    5.4784e-02
  198.0    1.6107e-02    1.5529e-02    3.7229e-02    7.6634e-02
  201.0    1.4509e-02    1.5529e-02   -6.5686e-02    8.7806e-02
  204.0    1.2209e-02    1.5529e-02   -2.1377e-01    9.2456e-02
